file_name,TP,class_confusions,unmatched_FP,unmatched_FN,FP,FN,ground_truth_objects,predicted_objects,precision,recall,F1,FN_rate,metric_state,was_in_original_effective_universe
2024-09-10_16-55-30-06-00_0001_106MEDIA_DSCF0818_JPG.rf.9abe0f135e389db8f52e3ea2959e137e.jpg,0,2,0,0,2,2,2,2,0,0,0,1,defined_zero_performance,TRUE
2024-08-21_17-35-20-06-00_0002_104MEDIA_DSCF0613_JPG.rf.ce4753e999239dd4af8b9489ce5bc6f9.jpg,2,0,0,0,0,0,2,2,1,1,1,0,defined,TRUE
Rhomboplites-aurorubens_7_jpg.rf.7480876d4a55360b4e64a147b63b0aa6.jpg,8,0,1,3,1,3,11,9,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.2727272727272727,defined,TRUE
2024-08-15_18-17-38-06-00_0003_101MEDIA_DSCF0739_JPG.rf.1ae4cfde3135b61e598ddd5e5fdb1602.jpg,2,0,4,0,4,0,2,6,0.3333333333333333,1,0.5,0,defined,TRUE
Pomacanthus-paru_42_jpg.rf.d6a30f44830125e54bcf14068656fd7c.jpg,3,0,0,0,0,0,3,3,1,1,1,0,defined,TRUE
Canthigaster-rostrata_46_jpeg.rf.72eb3ffaf1bc16ef6df71b929c0d904e.jpg,0,0,0,0,0,0,0,0,NA,NA,NA,NA,precision_recall_f1_undefined_no_objects,FALSE
Chaetodon-striatus_23_jpg.rf.6bd8ddd7f5a93e0ad91aa34fb0f86f7a.jpg,2,0,0,1,0,1,3,2,1,0.6666666666666666,0.8,0.3333333333333333,defined,TRUE
2024-08-19_10-46-50-06-00_0003_103MEDIA_DSCF0513_JPG.rf.ba56323d9c126ce1b79f790f6334278e.jpg,2,0,0,0,0,0,2,2,1,1,1,0,defined,TRUE
2024-08-19_10-04-52-06-00_0004_103MEDIA_DSCF0487_JPG.rf.85e0fde1f3ee53af5dc523add32c40ae.jpg,0,1,0,3,1,4,4,1,0,0,0,1,defined_zero_performance,TRUE
2024-08-15_17-44-16-06-00_0005_101MEDIA_DSCF0671_JPG.rf.35658df174cf84e14231690cebf73233.jpg,0,2,0,0,2,2,2,2,0,0,0,1,defined_zero_performance,TRUE
2024-08-19_09-49-48-06-00_0003_103MEDIA_DSCF0494_JPG.rf.89e8d2733f746e40af942b06306c0b1c.jpg,4,0,0,0,0,0,4,4,1,1,1,0,defined,TRUE
Epinephelus-morio_35_jpeg.rf.d9c7a25363aca95449f6c344e37e0246.jpg,1,0,0,1,0,1,2,1,1,0.5,0.6666666666666666,0.5,defined,TRUE
Halichoeres-bivittatus_12_jpg.rf.465319790ab64701ab67b2d4ee480d2f.jpg,1,0,0,0,0,0,1,1,1,1,1,0,defined,TRUE
