gt,pred,n,gt_name,pred_name
42,17,0,Scarus juvenil,Diodon spp
42,18,0,Scarus juvenil,Epinephelus spp
42,19,0,Scarus juvenil,Ginglymostoma cirratum
42,2,0,Scarus juvenil,Acanthurus chirurgus
42,20,0,Scarus juvenil,Haemulon flavolineatum
42,21,2,Scarus juvenil,Haemulon juvenil
42,22,0,Scarus juvenil,Haemulon plumierii
42,23,0,Scarus juvenil,Haemulon plumierii juvenil
42,24,0,Scarus juvenil,Haemulon sciurus
42,25,0,Scarus juvenil,Halichoeres spp
42,26,0,Scarus juvenil,Holacanthus spp
42,27,0,Scarus juvenil,Kyphosus spp
42,28,0,Scarus juvenil,Lachnolaimus maximus
42,29,0,Scarus juvenil,Lutjanus analis
42,3,0,Scarus juvenil,Acanthurus coeruleus
42,30,0,Scarus juvenil,Lutjanus griseus
42,31,0,Scarus juvenil,Lutjanus jocu
42,32,0,Scarus juvenil,Mycteroperca spp
42,33,0,Scarus juvenil,Nicholsina usta
42,34,0,Scarus juvenil,Ocyurus chrysurus
42,35,0,Scarus juvenil,Pomacanthus arcuatus
42,36,0,Scarus juvenil,Pomacanthus paru
42,37,0,Scarus juvenil,Rhomboplites aurorubens
42,38,0,Scarus juvenil,Scarus coelestinus
42,39,0,Scarus juvenil,Scarus coeruleus
42,4,0,Scarus juvenil,Anisotremus virginicus
42,40,0,Scarus juvenil,Scarus guacamaia
42,41,0,Scarus juvenil,Scarus iseri
42,42,5,Scarus juvenil,Scarus juvenil
42,43,0,Scarus juvenil,Scarus taeniopterus
42,44,0,Scarus juvenil,Scarus vetula
42,45,0,Scarus juvenil,Sparisoma aurofrenatum
42,46,0,Scarus juvenil,Sparisoma chrysopterum
42,47,0,Scarus juvenil,Sparisoma rubripinne FI
42,48,0,Scarus juvenil,Sparisoma viride
42,49,0,Scarus juvenil,Sparisoma viride FI
42,5,0,Scarus juvenil,Azurina cyanea
42,50,0,Scarus juvenil,Sphyraena barracuda
42,51,0,Scarus juvenil,Urobatis jamaicensis
42,52,4,Scarus juvenil,unidentifiable
42,6,0,Scarus juvenil,Bodianus rufus
42,7,0,Scarus juvenil,Calamus spp
42,8,0,Scarus juvenil,Caranx bartholomaei
42,9,0,Scarus juvenil,Caranx latus
42,background,9,Scarus juvenil,background
43,0,0,Scarus taeniopterus,fish
43,1,0,Scarus taeniopterus,Abudefduf saxatilis
43,10,0,Scarus taeniopterus,Caranx ruber
43,11,0,Scarus taeniopterus,Cephalopholis cruentata
43,12,0,Scarus taeniopterus,Chaetodon capistratus
43,13,0,Scarus taeniopterus,Chaetodon ocellatus
43,14,0,Scarus taeniopterus,Chaetodon sedentarius
43,15,0,Scarus taeniopterus,Chaetodon striatus
43,16,0,Scarus taeniopterus,Chromis scotti
43,17,0,Scarus taeniopterus,Diodon spp
43,18,0,Scarus taeniopterus,Epinephelus spp
43,19,0,Scarus taeniopterus,Ginglymostoma cirratum
43,2,0,Scarus taeniopterus,Acanthurus chirurgus
43,20,0,Scarus taeniopterus,Haemulon flavolineatum
43,21,0,Scarus taeniopterus,Haemulon juvenil
43,22,0,Scarus taeniopterus,Haemulon plumierii
43,23,0,Scarus taeniopterus,Haemulon plumierii juvenil
43,24,0,Scarus taeniopterus,Haemulon sciurus
43,25,0,Scarus taeniopterus,Halichoeres spp
43,26,0,Scarus taeniopterus,Holacanthus spp
43,27,0,Scarus taeniopterus,Kyphosus spp
43,28,0,Scarus taeniopterus,Lachnolaimus maximus
43,29,0,Scarus taeniopterus,Lutjanus analis
43,3,0,Scarus taeniopterus,Acanthurus coeruleus
43,30,0,Scarus taeniopterus,Lutjanus griseus
43,31,0,Scarus taeniopterus,Lutjanus jocu
43,32,0,Scarus taeniopterus,Mycteroperca spp
43,33,0,Scarus taeniopterus,Nicholsina usta
43,34,0,Scarus taeniopterus,Ocyurus chrysurus
43,35,0,Scarus taeniopterus,Pomacanthus arcuatus
43,36,0,Scarus taeniopterus,Pomacanthus paru
43,37,0,Scarus taeniopterus,Rhomboplites aurorubens
43,38,0,Scarus taeniopterus,Scarus coelestinus
43,39,0,Scarus taeniopterus,Scarus coeruleus
43,4,0,Scarus taeniopterus,Anisotremus virginicus
43,40,0,Scarus taeniopterus,Scarus guacamaia
43,41,2,Scarus taeniopterus,Scarus iseri
43,42,0,Scarus taeniopterus,Scarus juvenil
43,43,13,Scarus taeniopterus,Scarus taeniopterus
43,44,1,Scarus taeniopterus,Scarus vetula
43,45,0,Scarus taeniopterus,Sparisoma aurofrenatum
43,46,0,Scarus taeniopterus,Sparisoma chrysopterum
43,47,0,Scarus taeniopterus,Sparisoma rubripinne FI
43,48,0,Scarus taeniopterus,Sparisoma viride
43,49,0,Scarus taeniopterus,Sparisoma viride FI
43,5,0,Scarus taeniopterus,Azurina cyanea
43,50,0,Scarus taeniopterus,Sphyraena barracuda
43,51,0,Scarus taeniopterus,Urobatis jamaicensis
43,52,0,Scarus taeniopterus,unidentifiable
43,6,0,Scarus taeniopterus,Bodianus rufus
43,7,0,Scarus taeniopterus,Calamus spp
43,8,0,Scarus taeniopterus,Caranx bartholomaei
43,9,0,Scarus taeniopterus,Caranx latus
43,background,5,Scarus taeniopterus,background
44,0,0,Scarus vetula,fish
44,1,0,Scarus vetula,Abudefduf saxatilis
44,10,0,Scarus vetula,Caranx ruber
44,11,0,Scarus vetula,Cephalopholis cruentata
44,12,0,Scarus vetula,Chaetodon capistratus
44,13,0,Scarus vetula,Chaetodon ocellatus
44,14,0,Scarus vetula,Chaetodon sedentarius
44,15,0,Scarus vetula,Chaetodon striatus
44,16,0,Scarus vetula,Chromis scotti
44,17,0,Scarus vetula,Diodon spp
44,18,0,Scarus vetula,Epinephelus spp
44,19,0,Scarus vetula,Ginglymostoma cirratum
44,2,0,Scarus vetula,Acanthurus chirurgus
44,20,0,Scarus vetula,Haemulon flavolineatum
44,21,0,Scarus vetula,Haemulon juvenil
44,22,0,Scarus vetula,Haemulon plumierii
44,23,0,Scarus vetula,Haemulon plumierii juvenil
44,24,0,Scarus vetula,Haemulon sciurus
44,25,0,Scarus vetula,Halichoeres spp
44,26,0,Scarus vetula,Holacanthus spp
44,27,0,Scarus vetula,Kyphosus spp
44,28,0,Scarus vetula,Lachnolaimus maximus
44,29,0,Scarus vetula,Lutjanus analis
44,3,0,Scarus vetula,Acanthurus coeruleus
44,30,0,Scarus vetula,Lutjanus griseus
44,31,0,Scarus vetula,Lutjanus jocu
44,32,0,Scarus vetula,Mycteroperca spp
44,33,0,Scarus vetula,Nicholsina usta
44,34,0,Scarus vetula,Ocyurus chrysurus
44,35,0,Scarus vetula,Pomacanthus arcuatus
44,36,0,Scarus vetula,Pomacanthus paru
44,37,0,Scarus vetula,Rhomboplites aurorubens
44,38,2,Scarus vetula,Scarus coelestinus
44,39,0,Scarus vetula,Scarus coeruleus
44,4,0,Scarus vetula,Anisotremus virginicus
44,40,2,Scarus vetula,Scarus guacamaia
44,41,0,Scarus vetula,Scarus iseri
44,42,0,Scarus vetula,Scarus juvenil
44,43,0,Scarus vetula,Scarus taeniopterus
44,44,6,Scarus vetula,Scarus vetula
44,45,0,Scarus vetula,Sparisoma aurofrenatum
44,46,2,Scarus vetula,Sparisoma chrysopterum
44,47,0,Scarus vetula,Sparisoma rubripinne FI
44,48,3,Scarus vetula,Sparisoma viride
44,49,0,Scarus vetula,Sparisoma viride FI
44,5,0,Scarus vetula,Azurina cyanea
44,50,0,Scarus vetula,Sphyraena barracuda
44,51,0,Scarus vetula,Urobatis jamaicensis
44,52,0,Scarus vetula,unidentifiable
44,6,0,Scarus vetula,Bodianus rufus
44,7,0,Scarus vetula,Calamus spp
44,8,0,Scarus vetula,Caranx bartholomaei
44,9,0,Scarus vetula,Caranx latus
44,background,8,Scarus vetula,background
45,0,0,Sparisoma aurofrenatum,fish
45,1,0,Sparisoma aurofrenatum,Abudefduf saxatilis
45,10,0,Sparisoma aurofrenatum,Caranx ruber
45,11,0,Sparisoma aurofrenatum,Cephalopholis cruentata
45,12,0,Sparisoma aurofrenatum,Chaetodon capistratus
45,13,0,Sparisoma aurofrenatum,Chaetodon ocellatus
45,14,0,Sparisoma aurofrenatum,Chaetodon sedentarius
45,15,0,Sparisoma aurofrenatum,Chaetodon striatus
45,16,0,Sparisoma aurofrenatum,Chromis scotti
45,17,0,Sparisoma aurofrenatum,Diodon spp
45,18,0,Sparisoma aurofrenatum,Epinephelus spp
45,19,0,Sparisoma aurofrenatum,Ginglymostoma cirratum
45,2,0,Sparisoma aurofrenatum,Acanthurus chirurgus
45,20,0,Sparisoma aurofrenatum,Haemulon flavolineatum
45,21,0,Sparisoma aurofrenatum,Haemulon juvenil
45,22,0,Sparisoma aurofrenatum,Haemulon plumierii
45,23,0,Sparisoma aurofrenatum,Haemulon plumierii juvenil
45,24,0,Sparisoma aurofrenatum,Haemulon sciurus
45,25,0,Sparisoma aurofrenatum,Halichoeres spp
45,26,0,Sparisoma aurofrenatum,Holacanthus spp
45,27,0,Sparisoma aurofrenatum,Kyphosus spp
45,28,0,Sparisoma aurofrenatum,Lachnolaimus maximus
45,29,0,Sparisoma aurofrenatum,Lutjanus analis
45,3,0,Sparisoma aurofrenatum,Acanthurus coeruleus
45,30,0,Sparisoma aurofrenatum,Lutjanus griseus
45,31,0,Sparisoma aurofrenatum,Lutjanus jocu
45,32,0,Sparisoma aurofrenatum,Mycteroperca spp
45,33,0,Sparisoma aurofrenatum,Nicholsina usta
45,34,0,Sparisoma aurofrenatum,Ocyurus chrysurus
45,35,0,Sparisoma aurofrenatum,Pomacanthus arcuatus
45,36,0,Sparisoma aurofrenatum,Pomacanthus paru
45,37,0,Sparisoma aurofrenatum,Rhomboplites aurorubens
45,38,0,Sparisoma aurofrenatum,Scarus coelestinus
45,39,0,Sparisoma aurofrenatum,Scarus coeruleus
45,4,0,Sparisoma aurofrenatum,Anisotremus virginicus
45,40,0,Sparisoma aurofrenatum,Scarus guacamaia
45,41,0,Sparisoma aurofrenatum,Scarus iseri
45,42,0,Sparisoma aurofrenatum,Scarus juvenil
45,43,0,Sparisoma aurofrenatum,Scarus taeniopterus
45,44,0,Sparisoma aurofrenatum,Scarus vetula
45,45,16,Sparisoma aurofrenatum,Sparisoma aurofrenatum
45,46,1,Sparisoma aurofrenatum,Sparisoma chrysopterum
45,47,0,Sparisoma aurofrenatum,Sparisoma rubripinne FI
45,48,2,Sparisoma aurofrenatum,Sparisoma viride
45,49,0,Sparisoma aurofrenatum,Sparisoma viride FI
45,5,0,Sparisoma aurofrenatum,Azurina cyanea
45,50,0,Sparisoma aurofrenatum,Sphyraena barracuda
45,51,0,Sparisoma aurofrenatum,Urobatis jamaicensis
45,52,0,Sparisoma aurofrenatum,unidentifiable
45,6,0,Sparisoma aurofrenatum,Bodianus rufus
45,7,0,Sparisoma aurofrenatum,Calamus spp
45,8,0,Sparisoma aurofrenatum,Caranx bartholomaei
45,9,0,Sparisoma aurofrenatum,Caranx latus
45,background,7,Sparisoma aurofrenatum,background
46,0,0,Sparisoma chrysopterum,fish
46,1,0,Sparisoma chrysopterum,Abudefduf saxatilis
46,10,0,Sparisoma chrysopterum,Caranx ruber
46,11,0,Sparisoma chrysopterum,Cephalopholis cruentata
46,12,0,Sparisoma chrysopterum,Chaetodon capistratus
46,13,0,Sparisoma chrysopterum,Chaetodon ocellatus
