class,class_type,split,images_containing_class,preaugmentation_source_images_containing_class,annotated_object_instances,percent_exported_images_SAMP,percent_exported_images_iNaturalist,percent_exported_images_UNKNOWN_REVIEW,percent_source_images_SAMP,percent_source_images_iNaturalist,percent_source_images_UNKNOWN_REVIEW,bbox_area_fraction_min,bbox_area_fraction_q25,bbox_area_fraction_median,bbox_area_fraction_q75,bbox_area_fraction_max,bbox_area_fraction_mean,present_in_all_three_splits,training_source_image_rank,low_training_representation_lower_quartile,source_dependence
Chaetodon capistratus,species_level,train,152,38,360,2.63157895,97.36842105,0.00000000,2.63157895,97.36842105,0.00000000,0.00002110,0.00582321,0.01957194,0.07404393,0.51870841,0.06049939,True,12,True,iNaturalist-predominant
Chaetodon capistratus,species_level,valid,10,10,22,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00007535,0.01575008,0.04345402,0.08771882,0.35356988,0.08687995,True,12,True,iNaturalist-predominant
Chaetodon capistratus,species_level,test,10,10,15,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.02495660,0.07638889,0.12721535,0.35489005,0.09799242,True,12,True,iNaturalist-predominant
Chaetodon ocellatus,species_level,train,332,83,772,49.39759036,50.60240964,0.00000000,49.39759036,50.60240964,0.00000000,0.00002110,0.00159144,0.00463264,0.02644555,0.39378979,0.02923623,True,31,False,mixed_or_unknown
Chaetodon ocellatus,species_level,valid,10,10,33,50.00000000,50.00000000,0.00000000,50.00000000,50.00000000,0.00000000,0.00039183,0.00183558,0.01198098,0.05643868,0.22778320,0.03434811,True,31,False,mixed_or_unknown
Chaetodon ocellatus,species_level,test,10,10,26,50.00000000,50.00000000,0.00000000,50.00000000,50.00000000,0.00000000,0.00000603,0.00225453,0.00461607,0.01056586,0.45746226,0.02934730,True,31,False,mixed_or_unknown
Chaetodon sedentarius,species_level,train,124,31,676,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00005727,0.00067817,0.00234194,0.01229745,0.42060004,0.02681865,True,2,True,iNaturalist-predominant
Chaetodon sedentarius,species_level,valid,10,10,31,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00002411,0.00629792,0.02363040,0.09402127,0.28095462,0.05929399,True,2,True,iNaturalist-predominant
Chaetodon sedentarius,species_level,test,10,10,23,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00007234,0.00297490,0.01164641,0.05309456,0.22216797,0.03622323,True,2,True,iNaturalist-predominant
Chaetodon striatus,species_level,train,156,39,424,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00014468,0.01145351,0.02910247,0.08400849,0.51832863,0.06878317,True,13,True,iNaturalist-predominant
